application_id,age,employment_status,annual_income,credit_score,existing_debt,debt_to_income_ratio,missed_payments_12m,postal_code,region_income_band,years_at_address,requested_limit,prior_customer,application_channel,postal_penalty,model_score,decision
APP-00001,67,Full-time,48802,640,12902,0.264,0,K2C,Medium,2,10000,No,Online,0.0,0.39,Rejected
APP-00002,67,Contract,79063,653,17611,0.223,0,M9C,High,15,1000,No,Branch,0.0,0.594,Approved
APP-00003,24,Full-time,68053,739,13200,0.194,1,M5V,High,3,3000,No,Mobile,0.0,0.588,Approved
APP-00004,27,Full-time,22070,697,13125,0.595,2,M4C,Medium,13,5000,No,Branch,0.0,0.163,Rejected
APP-00005,65,Part-time,50161,714,10080,0.201,1,L8W,Low,3,2000,Yes,Mobile,-0.48,0.369,Rejected
APP-00006,55,Full-time,66527,614,15943,0.24,1,L8W,Low,8,7000,Yes,Online,-0.48,0.336,Rejected
APP-00007,68,Full-time,53192,712,13879,0.261,0,M6E,Low,4,2000,Yes,Online,-0.58,0.414,Rejected
APP-00008,29,Part-time,21659,662,7206,0.333,0,M2N,High,3,3000,Yes,Branch,0.0,0.27,Rejected
APP-00009,28,Contract,87774,634,15616,0.178,0,M4C,Medium,0,7000,No,Mobile,0.0,0.604,Approved
APP-00010,65,Contract,70549,670,15848,0.225,0,M5V,High,10,5000,Yes,Online,0.0,0.615,Approved
APP-00011,37,Part-time,68487,757,13331,0.195,4,M6E,Low,6,7000,No,Online,-0.58,0.302,Rejected
APP-00012,37,Part-time,58981,678,19821,0.336,1,M9C,High,12,15000,No,Online,0.0,0.367,Rejected
APP-00013,69,Unemployed,77067,819,15148,0.197,0,L6A,High,1,2000,No,Online,0.0,0.674,Approved
APP-00014,53,Full-time,93527,569,6713,0.072,0,L8W,Low,0,7000,Yes,Online,-0.48,0.423,Rejected
APP-00015,52,Full-time,47269,597,25062,0.53,1,L8W,Low,1,3000,Yes,Online,-0.48,0.155,Rejected
APP-00016,28,Full-time,90506,755,21069,0.233,0,L8W,Low,4,5000,Yes,Mobile,-0.48,0.679,Approved
APP-00017,39,Full-time,71174,777,21513,0.302,1,M4B,Medium,3,1000,Yes,Online,0.0,0.616,Approved
APP-00018,58,Part-time,48350,643,17304,0.358,3,L5N,Medium,3,2000,No,Branch,0.0,0.199,Rejected
APP-00019,23,Part-time,103823,694,0,0.0,1,K2C,Medium,14,3000,No,Online,0.0,0.744,Approved
APP-00020,25,Part-time,71050,729,22148,0.312,0,M4B,Medium,8,3000,No,Online,0.0,0.596,Approved
APP-00021,33,Full-time,76177,677,14926,0.196,1,M4C,Medium,5,10000,No,Branch,0.0,0.452,Rejected
APP-00022,67,Contract,55652,690,18173,0.327,3,M3J,Low,10,7000,Yes,Mobile,-0.52,0.179,Rejected
APP-00023,66,Full-time,49666,691,18283,0.368,0,M4B,Medium,1,15000,No,Online,0.0,0.432,Rejected
APP-00024,51,Part-time,67021,609,28054,0.419,1,M4B,Medium,6,5000,Yes,Mobile,0.0,0.398,Rejected
APP-00025,36,Full-time,92466,671,10676,0.115,0,K2C,Medium,14,3000,No,Mobile,0.0,0.667,Approved
APP-00026,70,Full-time,61926,699,9657,0.156,0,L6A,High,13,3000,Yes,Online,0.0,0.624,Approved
APP-00027,52,Full-time,60018,688,9743,0.162,2,L8W,Low,1,3000,Yes,Online,-0.48,0.299,Rejected
APP-00028,42,Full-time,90214,595,7010,0.078,3,L5N,Medium,8,3000,Yes,Branch,0.0,0.516,Approved
APP-00029,49,Contract,58594,731,7139,0.122,1,M4C,Medium,5,7000,Yes,Online,0.0,0.559,Approved
APP-00030,42,Contract,69685,689,2738,0.039,1,M6E,Low,14,5000,No,Online,-0.58,0.399,Rejected
APP-00031,63,Part-time,79792,632,17487,0.219,1,M4C,Medium,7,5000,Yes,Online,0.0,0.527,Approved
APP-00032,23,Full-time,56958,781,29615,0.52,0,L8W,Low,11,2000,No,Online,-0.48,0.425,Rejected
APP-00033,30,Full-time,66077,663,30061,0.455,0,M6E,Low,14,1000,No,Mobile,-0.58,0.352,Rejected
APP-00034,62,Contract,79400,683,7333,0.092,0,L4W,High,13,3000,No,Online,0.0,0.651,Approved
APP-00035,41,Contract,60284,733,11395,0.189,1,M9C,High,1,2000,No,Online,0.0,0.5,Approved
APP-00036,36,Full-time,82184,802,21933,0.267,0,L6A,High,2,7000,Yes,Online,0.0,0.693,Approved
APP-00037,32,Full-time,54154,727,17526,0.324,1,M4B,Medium,5,2000,No,Branch,0.0,0.412,Rejected
APP-00038,22,Part-time,48348,727,16642,0.344,2,M3J,Low,1,7000,No,Branch,-0.52,0.186,Rejected
APP-00039,61,Full-time,36513,635,12703,0.348,0,K2P,Medium,0,5000,No,Mobile,0.0,0.283,Rejected
APP-00040,44,Full-time,54938,695,22748,0.414,0,K2C,Medium,5,1000,No,Mobile,0.0,0.48,Rejected
APP-00041,55,Full-time,45821,653,8189,0.179,1,M3J,Low,3,10000,No,Online,-0.52,0.266,Rejected
APP-00042,50,Full-time,56784,729,17866,0.315,5,L5N,Medium,12,5000,Yes,Online,0.0,0.317,Rejected
APP-00043,50,Contract,71516,726,18115,0.253,1,M6E,Low,7,3000,No,Online,-0.58,0.396,Rejected
APP-00044,67,Unemployed,36438,788,13604,0.373,0,L4W,High,6,10000,No,Branch,0.0,0.457,Rejected
APP-00045,55,Part-time,24956,563,21214,0.85,0,K1X,Low,3,1000,Yes,Mobile,-0.55,0.088,Rejected
APP-00046,39,Full-time,50517,655,14736,0.292,0,K2P,Medium,0,3000,No,Mobile,0.0,0.427,Rejected
APP-00047,70,Full-time,72302,762,10758,0.149,0,M4B,Medium,14,7000,Yes,Branch,0.0,0.74,Approved
APP-00048,28,Full-time,69200,613,15148,0.219,1,L5N,Medium,0,7000,Yes,Online,0.0,0.451,Rejected
APP-00049,46,Full-time,50229,734,3355,0.067,2,M4C,Medium,10,3000,No,Online,0.0,0.492,Rejected
APP-00050,69,Part-time,81549,744,19989,0.245,0,L8W,Low,0,1000,No,Online,-0.48,0.507,Approved
APP-00051,60,Full-time,55649,696,19378,0.348,0,M9C,High,7,10000,No,Online,0.0,0.484,Rejected
APP-00052,27,Full-time,75824,620,8704,0.115,0,L6A,High,6,3000,No,Online,0.0,0.631,Approved
APP-00053,50,Full-time,60970,691,7038,0.115,2,L4W,High,14,2000,Yes,Online,0.0,0.512,Approved
APP-00054,27,Full-time,51862,778,8962,0.173,0,M2N,High,16,5000,No,Online,0.0,0.611,Approved
APP-00055,23,Full-time,53109,775,14059,0.265,1,M4C,Medium,4,10000,Yes,Branch,0.0,0.545,Approved
APP-00056,21,Full-time,80712,709,14811,0.184,0,L4W,High,16,1000,Yes,Online,0.0,0.664,Approved
APP-00057,56,Unemployed,66998,628,27008,0.403,1,M3J,Low,2,7000,Yes,Branch,-0.52,0.234,Rejected
APP-00058,45,Full-time,77926,778,26124,0.335,0,L8W,Low,9,5000,No,Online,-0.48,0.529,Approved
APP-00059,57,Full-time,66998,727,21521,0.321,0,M6E,Low,12,5000,No,Online,-0.58,0.446,Rejected
APP-00060,21,Contract,34999,640,15349,0.439,1,M4B,Medium,12,7000,No,Mobile,0.0,0.297,Rejected
APP-00061,35,Unemployed,102059,709,8012,0.079,0,K2C,Medium,12,15000,No,Online,0.0,0.751,Approved
APP-00062,57,Part-time,67253,698,27457,0.408,0,K1X,Low,9,3000,Yes,Mobile,-0.55,0.347,Rejected
APP-00063,33,Contract,76764,663,11567,0.151,0,L6A,High,8,2000,No,Online,0.0,0.592,Approved
APP-00064,60,Full-time,57217,709,16470,0.288,0,M4B,Medium,10,10000,Yes,Online,0.0,0.498,Rejected
APP-00065,28,Full-time,84037,751,18891,0.225,0,M4B,Medium,7,7000,Yes,Online,0.0,0.748,Approved
APP-00066,25,Full-time,44324,674,14931,0.337,1,M4C,Medium,4,5000,No,Online,0.0,0.326,Rejected
APP-00067,29,Part-time,71477,748,23758,0.332,2,M3J,Low,13,5000,No,Online,-0.52,0.364,Rejected
APP-00068,21,Part-time,30067,601,16488,0.548,0,L6A,High,4,7000,No,Branch,0.0,0.218,Rejected
APP-00069,56,Full-time,72690,804,22620,0.311,0,M6E,Low,13,7000,No,Online,-0.58,0.558,Approved
APP-00070,55,Full-time,48068,701,16431,0.342,0,M9C,High,2,10000,No,Branch,0.0,0.322,Rejected
APP-00071,22,Part-time,72486,757,13035,0.18,0,L6A,High,7,5000,No,Online,0.0,0.673,Approved
APP-00072,60,Full-time,84932,694,16219,0.191,0,L8W,Low,3,3000,Yes,Online,-0.48,0.542,Approved
APP-00073,43,Part-time,75309,637,15264,0.203,1,M6E,Low,1,5000,Yes,Mobile,-0.58,0.372,Rejected
APP-00074,29,Part-time,89539,696,4310,0.048,0,L6A,High,9,5000,Yes,Mobile,0.0,0.747,Approved
APP-00075,54,Part-time,87675,593,6294,0.072,0,M5V,High,9,5000,Yes,Online,0.0,0.661,Approved
APP-00076,66,Contract,58063,736,18484,0.318,2,M5V,High,11,5000,Yes,Online,0.0,0.418,Rejected
APP-00077,34,Contract,78270,709,4484,0.057,2,L6A,High,15,2000,No,Online,0.0,0.539,Approved
APP-00078,24,Full-time,29451,671,12870,0.437,3,M6E,Low,9,5000,No,Mobile,-0.58,0.128,Rejected
APP-00079,50,Contract,51635,731,7149,0.138,1,M4B,Medium,9,7000,No,Online,0.0,0.522,Approved
APP-00080,51,Part-time,85568,684,12496,0.146,2,M3J,Low,12,7000,Yes,Mobile,-0.52,0.447,Rejected
APP-00081,58,Full-time,60569,731,12213,0.202,0,M2N,High,16,5000,Yes,Online,0.0,0.64,Approved
APP-00082,31,Full-time,30376,743,11656,0.384,1,K2P,Medium,10,2000,Yes,Mobile,0.0,0.411,Rejected
APP-00083,55,Full-time,100247,660,4501,0.045,0,M4B,Medium,15,5000,No,Online,0.0,0.709,Approved
APP-00084,28,Full-time,70621,636,14401,0.204,1,M6E,Low,6,7000,No,Online,-0.58,0.368,Rejected
APP-00085,23,Part-time,77761,595,7788,0.1,3,M4B,Medium,0,5000,No,Branch,0.0,0.328,Rejected
APP-00086,34,Contract,46352,697,10044,0.217,0,M4B,Medium,11,7000,No,Mobile,0.0,0.482,Rejected
APP-00087,33,Full-time,72613,723,18484,0.255,1,M5V,High,3,5000,No,Mobile,0.0,0.523,Approved
APP-00088,65,Full-time,68636,617,21188,0.309,1,K2P,Medium,1,3000,Yes,Branch,0.0,0.332,Rejected
APP-00089,52,Unemployed,52713,776,4123,0.078,3,M2N,High,16,7000,No,Mobile,0.0,0.448,Rejected
APP-00090,54,Full-time,60943,645,25481,0.418,1,L5N,Medium,3,2000,No,Branch,0.0,0.332,Rejected
APP-00091,65,Full-time,33492,566,12129,0.362,4,M3J,Low,0,5000,No,Mobile,-0.52,0.065,Rejected
APP-00092,39,Part-time,61259,780,9093,0.148,0,M5V,High,12,3000,Yes,Mobile,0.0,0.66,Approved
APP-00093,58,Full-time,85029,589,7058,0.083,0,M5V,High,11,1000,Yes,Online,0.0,0.639,Approved
APP-00094,36,Full-time,50557,743,14891,0.295,0,M4C,Medium,7,5000,Yes,Branch,0.0,0.541,Approved
APP-00095,22,Full-time,101831,738,27171,0.267,0,L6A,High,1,5000,No,Online,0.0,0.694,Approved
APP-00096,60,Full-time,38150,708,3722,0.098,1,L5N,Medium,3,7000,No,Branch,0.0,0.408,Rejected
APP-00097,37,Part-time,59317,661,102,0.002,1,L5N,Medium,4,7000,No,Mobile,0.0,0.468,Rejected
APP-00098,54,Full-time,52184,718,16380,0.314,1,K2C,Medium,13,7000,No,Online,0.0,0.413,Rejected
APP-00099,62,Full-time,57257,740,19685,0.344,1,M6E,Low,8,5000,Yes,Online,-0.58,0.407,Rejected
APP-00100,36,Part-time,85187,628,16069,0.189,0,M3J,Low,2,5000,No,Online,-0.52,0.409,Rejected
APP-00101,58,Contract,42780,736,19871,0.464,0,M6E,Low,6,5000,Yes,Online,-0.58,0.321,Rejected
APP-00102,22,Full-time,55877,741,6581,0.118,0,K2P,Medium,1,5000,No,Online,0.0,0.606,Approved
APP-00103,22,Full-time,75781,706,7886,0.104,0,M4B,Medium,8,5000,No,Mobile,0.0,0.7,Approved
APP-00104,46,Part-time,65677,660,15368,0.234,1,L5N,Medium,1,15000,No,Branch,0.0,0.379,Rejected
APP-00105,33,Full-time,70653,749,25606,0.362,0,L4W,High,2,2000,No,Mobile,0.0,0.581,Approved
APP-00106,67,Full-time,43125,710,19625,0.455,0,K1X,Low,11,10000,No,Online,-0.55,0.282,Rejected
APP-00107,51,Part-time,62711,634,18750,0.299,1,K2C,Medium,1,1000,No,Mobile,0.0,0.398,Rejected
APP-00108,54,Contract,87868,678,5784,0.066,0,M5V,High,12,3000,Yes,Branch,0.0,0.718,Approved
APP-00109,59,Contract,31529,727,18657,0.592,3,K1X,Low,14,3000,No,Online,-0.55,0.128,Rejected
APP-00110,23,Part-time,47948,688,7425,0.155,1,M6E,Low,8,5000,No,Branch,-0.58,0.295,Rejected
APP-00111,28,Contract,31320,750,26874,0.858,4,M4B,Medium,7,2000,No,Mobile,0.0,0.136,Rejected
APP-00112,43,Full-time,70166,663,8617,0.123,0,L8W,Low,1,10000,No,Online,-0.48,0.432,Rejected
